tribunal,grau,numero,classe,orgao,ano_ajuizamento,duracao_dias,qtd_movimentos,desfecho
TRF3,JE,00014263420104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,878.0,43,acordo
TRF3,JE,00014269720114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,783.0,39,sem sentença identificada
TRF3,JE,00014339420084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,1169.0,20,favorável
TRF3,JE,00014401820104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,882.0,26,favorável
TRF3,JE,00014433620114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,426.0,30,acordo
TRF3,JE,00014497720104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,254.0,22,desfavorável
TRF3,JE,00013296320124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,543.0,47,favorável
TRF3,JE,00014647520124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,306.0,21,desfavorável
TRF3,JE,00013711520124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2014.0,290.0,38,desfavorável
TRF3,JE,00014875520114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,581.0,13,desfavorável
TRF3,JE,00014919220114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,581.0,11,desfavorável
TRF3,JE,00014058720124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,476.0,13,desfavorável
TRF3,JE,00014390420084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,535.0,14,desfavorável
TRF3,JE,00014454020104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,1055.0,25,desfavorável
TRF3,JE,00014656020124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,553.0,17,desfavorável
TRF3,JE,00015940220114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,862.0,32,favorável
TRF3,JE,00015943620104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,628.0,36,desfavorável
TRF3,JE,00014835220104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,104.0,10,sem sentença identificada
TRF3,JE,00014852720074036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2008.0,416.0,27,favorável
TRF3,JE,00015889220114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,672.0,10,desfavorável
TRF3,JE,00015980520124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,330.0,26,desfavorável
TRF3,JE,00015992420114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,715.0,20,desfavorável
TRF3,JE,00016717420124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2014.0,220.0,38,sem sentença identificada
TRF3,JE,00017560220084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,360.0,16,desfavorável
TRF3,JE,00016523920104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,560.0,24,desfavorável
TRF3,JE,00017704920094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,285.0,13,desfavorável
TRF3,JE,00017730420094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,1146.0,16,sem sentença identificada
TRF3,JE,00016771820114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,737.0,12,desfavorável
TRF3,JE,00018172320094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,637.0,9,sem sentença identificada
TRF3,JE,00018801420104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,240.0,30,desfavorável
TRF3,JE,00018819620104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,858.0,22,desfavorável
TRF3,JE,00018836620104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,213.0,31,desfavorável
TRF3,JE,00018845120104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,843.0,22,desfavorável
TRF3,JE,00018856520124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,556.0,47,favorável
TRF3,JE,00018951720094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,708.0,10,desfavorável
TRF3,JE,00019384620124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,143.0,7,sem sentença identificada
TRF3,JE,00016954420084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,816.0,33,favorável
TRF3,JE,00016977220124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,316.0,16,desfavorável
TRF3,JE,00020441320094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,815.0,8,desfavorável
TRF3,JE,00020536720124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,259.0,22,desfavorável
TRF3,JE,00020842420114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,296.0,27,sem sentença identificada
TRF3,JE,00017358420124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,333.0,11,desfavorável
TRF3,JE,00020923520104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,718.0,39,desfavorável
TRF3,JE,00020984220104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,202.0,12,sem sentença identificada
TRF3,JE,00021012620124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,408.0,29,favorável
TRF3,JE,00017721920094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,300.0,26,desfavorável
TRF3,JE,00021122620104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,997.0,24,favorável
TRF3,JE,00021131120104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,1118.0,29,desfavorável
TRF3,JE,00018259220124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,460.0,35,favorável
TRF3,JE,00018683420094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,397.0,19,sem sentença identificada
TRF3,JE,00018715220104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,1471.0,33,desfavorável
TRF3,JE,00021751720114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,172.0,18,desfavorável
TRF3,JE,00021755120104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,291.0,46,desfavorável
TRF3,JE,00021807320104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,620.0,53,favorável
TRF3,JE,00018706720104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,987.0,37,favorável
TRF3,JE,00022392720114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,283.0,30,favorável
TRF3,JE,00020167920084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2014.0,291.0,41,favorável
TRF3,JE,00020282520104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,852.0,23,desfavorável
TRF3,JE,00020545720094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,912.0,19,sem sentença identificada
TRF3,JE,00020785120104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,522.0,27,desfavorável
TRF3,JE,00020588920124036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2012.0,383.0,32,favorável
TRF3,JE,00021792520094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,963.0,46,desfavorável
TRF3,JE,00020874720094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,1252.0,28,favorável
TRF3,JE,00023212920094036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,623.0,9,sem sentença identificada
TRF3,JE,00023501120114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,536.0,20,desfavorável
TRF3,JE,00022401220114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2011.0,540.0,11,desfavorável
TRF3,JE,00023649720084036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2009.0,1936.0,26,favorável
TRF3,JE,00023764320104036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2010.0,447.0,16,sem sentença identificada
TRF3,JE,00023978220114036319,Procedimento do Juizado Especial Cível,1ª VARA FED. DE LINS,2013.0,449.0,22,desfavorável
